uid,ise1,ise2,mse,ese
2021300018,0,0,0,59
2021300018,0,0,0,75
2021300018,0,0,0,70
2021300018,0,0,0,77
2021300018,0,0,0,66
2021300018,0,0,0,72
2021300018,0,0,0,72
2021300018,0,0,0,68
2021300018,0,0,0,47
2021300018,0,0,0,71
2021300018,0,0,0,72
2021300018,0,0,0,60
2021300018,0,0,0,60
2021300018,0,0,0,79
2021300018,0,0,0,55
2021300018,0,0,0,71
2021300018,0,0,0,72
2021300018,0,0,0,70
2021300018,0,0,0,76
2021300018,0,0,0,66
2021300018,0,0,0,45
2021300018,0,0,0,66
2021300018,0,0,0,72
2021300018,0,0,0,70
2021300018,0,0,0,76
2021300018,0,0,0,62
2021300018,0,0,0,60
2021300018,0,0,0,68
2021300018,0,0,0,72
2021300018,0,0,0,48
2021300018,0,0,0,52
2021300018,0,0,0,58
2021300018,0,0,0,71
2021300018,0,0,0,47
2021300018,0,0,0,59
2021300018,0,0,0,57
2021300018,0,0,0,25
2021300018,0,0,0,57
2021300018,0,0,0,40
2021300018,0,0,0,78
2021300018,0,0,0,62
2021300018,0,0,0,71
2021300018,0,0,0,64
2021300018,0,0,0,55
2021300018,0,0,0,66
2021300018,0,0,0,54
2021300018,0,0,0,56
2021300018,0,0,0,68
2021300018,0,0,0,63
2021300018,0,0,0,72
2021300018,0,0,0,59
2021300018,0,0,0,64
2021300018,0,0,0,35
2021300018,0,0,0,51
2021300018,0,0,0,60
2021300018,0,0,0,61
2021300018,0,0,0,58
2021300018,0,0,0,65
2021300018,0,0,0,61
2021300018,0,0,0,74
2021300018,0,0,0,37
2021300018,0,0,0,52
2021300018,0,0,0,70
2021300018,0,0,0,47
2021300018,0,0,0,50
2021300018,0,0,0,50
2021300018,0,0,0,82
2021300018,0,0,0,68
2021300018,0,0,0,71
2021300018,0,0,0,56
2021300018,0,0,0,63
2021300018,0,0,0,60
2021300018,0,0,0,72
2021300018,0,0,0,69
2021300018,0,0,0,39
2021300018,0,0,0,42
2021300018,0,0,0,38
2021300018,0,0,0,71
2021300018,0,0,0,62
2021300018,0,0,0,64
2021300018,0,0,0,66
2021300018,0,0,0,64
2021300018,0,0,0,54
2021300018,0,0,0,65
2021300018,0,0,0,64
2021300018,0,0,0,58
2021300018,0,0,0,19
2021300018,0,0,0,73
2021300018,0,0,0,66
2021300018,0,0,0,65
2021300018,0,0,0,54
2021300018,0,0,0,55
2021300018,0,0,0,70
2021300018,0,0,0,63
2021300018,0,0,0,55
2021300018,0,0,0,52
2021300018,0,0,0,45
2021300018,0,0,0,66
2021300018,0,0,0,64
2021300018,0,0,0,71
2021300018,0,0,0,84
2021300018,0,0,0,46
2021300018,0,0,0,82
2021300018,0,0,0,82
2021300018,0,0,0,62
2021300018,0,0,0,48
2021300018,0,0,0,48
2021300018,0,0,0,57
2021300018,0,0,0,50
2021300018,0,0,0,36
2021300018,0,0,0,64
2021300018,0,0,0,58
2021300018,0,0,0,66
2021300018,0,0,0,66
2021300018,0,0,0,69
2021300018,0,0,0,52
2021300018,0,0,0,46
2021300018,0,0,0,49
2021300018,0,0,0,53
2021300018,0,0,0,63
2021300018,0,0,0,69
2021300018,0,0,0,48
2021300018,0,0,0,50
2021300018,0,0,0,68
2021300018,0,0,0,59
2021300018,0,0,0,45
2021300018,0,0,0,56
2021300018,0,0,0,65
2021300018,0,0,0,64
2021300018,0,0,0,46
2021300018,0,0,0,52
2021300018,0,0,0,61
2021300018,0,0,0,57
2021300018,0,0,0,71
2021300018,0,0,0,59
2021300018,0,0,0,39
2021300018,0,0,0,68
2021300018,0,0,0,67
2021300018,0,0,0,56
2021300018,0,0,0,54
2021300018,0,0,0,61
2021300018,0,0,0,68
2021300018,0,0,0,68
2021300018,0,0,0,71
2021300018,0,0,0,52
2021300018,0,0,0,41
2021300018,0,0,0,76
2021300018,0,0,0,49
2021300018,0,0,0,58
2021300018,0,0,0,62
2021300018,0,0,0,57
2021300018,0,0,0,61
2021300018,0,0,0,68
2021300018,0,0,0,47
